,Accounting firm,Number of partners
0,Deloitte,5811
1,PwC,3749
2,Ernst & Young,3600
3,KPMG,2279
4,RSM US,903
5,CliftonLarsonAllen,848
6,BDO USA,618
7,Grant Thornton,606
8,CBIZ / Mayer Hoffman McCann,458
9,Moss Adams,360
10,Baker Tilly Virchow Krause,356
11,Plante Moran,336
12,Crowe Horwath,328
13,"Carr, Riggs & Ingram",304
14,Marcum,299
15,BKD,294
16,CohnReznick,275
17,Eide Bailly,275
18,Wipfli,271
19,Citrin Cooperman & Co.,241
20,Dixon Hughes Goodman,232
21,EisnerAmper,183
22,Withum,181
23,Armanino,126
24,Cherry Bekaert,137
