,Month,House price index (2015=100)
0,Aug '20,123.08
1,Jul '20,122.5
2,Jun '20,123.13
3,May '20,121.46
4,Apr '20,121.08
5,Mar '20,123.09
6,Feb '20,121.09
7,Jan '20,121.58
8,Dec '19,120.65
9,Nov '19,120.55
10,Oct '19,120.52
11,Sep '19,120.57
12,Aug '19,120.06
13,Jul '19,119.93
14,Jun '19,119.71
15,May '19,119.62
16,Apr '19,119.51
17,Mar '19,119.68
18,Feb '19,119.59
19,Jan '19,119.56
20,Dec '18,119.63
21,Nov '18,119.78
22,Oct '18,119.75
23,Sep '18,119.51
24,Aug '18,119.32
25,Jul '18,119.04
26,Jun '18,118.71
27,May '18,118.4
28,Apr '18,118.33
29,Mar '18,117.65
30,Feb '18,118.2
31,Jan '18,117.57
32,Dec '17,117.25
33,Nov '17,116.75
34,Oct '17,116.64
35,Sep '17,116.14
36,Aug '17,115.97
37,Jul '17,115.43
38,Jun '17,114.96
39,May '17,114.42
40,Apr '17,113.9
41,Mar '17,113.43
42,Feb '17,113.15
43,Jan '17,112.65
44,Dec '16,112.19
45,Nov '16,111.83
46,Oct '16,111.12
47,Sep '16,110.73
48,Aug '16,110.45
49,Jul '16,110.51
50,Jun '16,110.31
51,May '16,109.72
52,Apr '16,108.87
53,Mar '16,109.1
54,Feb '16,108.15
55,Jan '16,107.71
56,Dec '15,106.74
57,Nov '15,106.19
58,Oct '15,105.2
59,Sep '15,104.31
60,Aug '15,103.62
61,Jul '15,102.86
62,Jun '15,101.96
63,May '15,101.6
64,Apr '15,100.89
65,Mar '15,100.78
66,Feb '15,100.44
67,Jan '15,100.0
