,Quarter,Revenue in million U.S. dollars
0,Q3 '20,46017
1,Q2 '20,37998
2,Q1 '20,40975
3,Q4 '19,45812
4,Q3 '19,40225
5,Q2 '19,38674
6,Q1 '19,36032
7,Q4 '18,38998
8,Q3 '18,33594
9,Q2 '18,32512
10,Q1 '18,30996
11,Q4 '17,32192
12,Q3 '17,27470
13,Q2 '17,25913
14,Q1 '17,24618
15,Q4 '16,25802
16,Q3 '16,22254
17,Q2 '16,21315
18,Q1 '16,20092
19,Q4 '15,21179
20,Q3 '15,18534
21,Q2 '15,17653
22,Q1 '15,17178
23,Q4 '14,17997
24,Q3 '14,16523
25,Q2 '14,15955
26,Q1 '14,15420
27,Q4 '13,15707
28,Q3 '13,13754
29,Q2 '13,13107
30,Q1 '13,12951
31,Q4 '12,12905
32,Q3 '12,11526
33,Q2 '12,10964
34,Q1 '12,10645
35,Q4 '11,10584
36,Q3 '11,9720
37,Q2 '11,9026
38,Q1 '11,8575
39,Q4 '10,8440
40,Q3 '10,7286
41,Q2 '10,6820
42,Q1 '10,6775
43,Q4 '09,6674
44,Q3 '09,5945
45,Q2 '09,5523
46,Q1 '09,5509
47,Q4 '08,5701
48,Q3 '08,5541
49,Q2 '08,5637
50,Q1 '08,5186
