,Metropolitan Area,Real GDP in million chained (2012) U.S. dollars
0,"New York-Newark-Jersey City, NY-NJ-PA",1532202
1,"Los Angeles-Long Beach-Anaheim, CA",941064
2,"Chicago-Naperville-Elgin, IL-IN-WI",611591
3,"San Francisco-Oakland-Hayward, CA",497195
4,"Washington-Arlington-Alexandria, DC-VA-MD-WV",484792
5,"Dallas-Fort Worth-Arlington, TX",468918
6,"Houston-The Woodlands-Sugar Land, TX",445335
7,"Boston-Cambridge-Newton, MA-NH",412855
8,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",398674
9,"Atlanta-Sandy Springs-Roswell, GA",357308
10,"Seattle-Tacoma-Bellevue, WA",355662
11,"San Jose-Sunnyvale-Santa Clara, CA",318998
12,"Miami-Fort Lauderdale-West Palm Beach, FL",315031
13,"Detroit-Warren-Dearborn, MI",238679
14,"Minneapolis-St. Paul-Bloomington, MN-WI",237140
15,"Phoenix-Mesa-Scottsdale, AZ",227741
16,"San Diego-Chula Vista-Carlsbad, CA",219361
17,"Denver-Aurora-Lakewood, CO",193965
18,"Baltimore-Columbia-Towson, MD",183093
19,"Riverside-San Bernardino-Ontario, CA",164892
20,"St. Louis, MO-IL",152060
21,"Portland-Vancouver-Hillsboro, OR-WA",150033
22,"Charlotte-Concord-Gastonia, NC-SC",146813
23,"Tampa-St. Petersburg-Clearwater, FL",141904
24,"Pittsburgh, PA",138410
25,"Austin-Round Rock-Georgetown, TX",134416
26,"Sacramento-Roseville-Folsom, CA",128649
27,"Cincinnati, OH-KY-IN",124948
28,"Indianapolis-Carmel-Anderson, IN",124667
29,"Orlando-Kissimmee-Sanford, FL",124173
30,"San Antonio-New Braunfels, TX",121139
31,"Kansas City, MO-KS",120352
32,"Cleveland-Elyria, OH",119327
33,"Nashville-Davidson--Murfreesboro--Franklin, TN",117839
34,"Columbus, OH",114675
35,"Las Vegas-Henderson-Paradise, NV",107622
36,"Milwaukee-Waukesha-West Allis, WI",92558
37,"Virginia Beach-Norfolk-Newport News, VA-NC",89775
38,"Hartford-East Hartford-Middletown, CT",89529
39,"Salt Lake City, UT",82431
40,"Oklahoma City, OK",79667
41,"Bridgeport-Stamford-Norwalk, CT",77951
42,"Providence-Warwick, RI-MA",77516
43,"Raleigh-Cary, NC",76127
44,"Richmond, VA",75517
45,"New Orleans-Metairie, LA",74217
46,"Jacksonville, FL",73723
47,"Memphis, TN-MS-AR",67981
48,"Louisville/Jefferson County, KY-IN",64061
49,"Urban Honolulu, HI",61095
50,"Buffalo-Cheektowaga-Niagara Falls, NY",60321
51,"Rochester, NY",56811
52,"Omaha-Council Bluffs, NE-IA",56187
53,"Birmingham-Hoover, AL",55910
54,"Grand Rapids-Kentwood, MI",55253
55,"Tulsa, OK",53448
56,"Oxnard-Thousand Oaks-Ventura, CA",53439
57,"Albany-Schenectady-Troy, NY",52367
58,"Baton Rouge, LA",51501
59,"Bakersfield, CA",49864
60,"Durham-Chapel Hill, NC",48385
61,"New Haven-Milford, CT",48060
62,"Madison, WI",46529
63,"Worcester, MA-CT",45393
64,"Des Moines-West Des Moines, IA",44481
65,"Fresno, CA",43436
66,"Greenville-Anderson-Mauldin, SC",41116
67,"Allentown-Bethlehem-Easton, PA-NJ",40511
68,"Tucson, AZ",40011
69,"Knoxville, TN",38756
70,"Dayton, OH",38696
71,"Albuquerque, NM",38444
72,"Columbia, SC",38443
73,"Greensboro-High Point, NC",38301
74,"Charleston-North Charleston, SC",37696
75,"Syracuse, NY",36718
76,"Harrisburg-Carlisle, PA",35907
77,"Midland, TX",35002
78,"Toledo, OH",34845
79,"Little Rock-North Little Rock-Conway, AR",34579
80,"Colorado Springs, CO",34207
81,"Akron, OH",32912
82,"Wichita, KS",32832
83,"Boise City, ID",31127
84,"Springfield, MA",30643
85,"North Port-Sarasota-Bradenton, FL",30413
86,"Winston-Salem, NC",29528
87,"Stockton-Lodi, CA",29257
88,"El Paso, TX",29123
89,"Santa Rosa-Petaluma, CA",28565
90,"Trenton, NJ",28459
91,"Portland-South Portland, ME",28249
92,"Beaumont-Port Arthur, TX",28227
93,"Poughkeepsie-Newburgh-Middletown, NY",27992
94,"Santa Maria-Santa Barbara, CA",27855
95,"Chattanooga, TN-GA",27374
96,"Cape Coral-Fort Myers, FL",27046
97,"Lancaster, PA",26442
98,"Lexington-Fayette, KY",26125
99,"Scranton--Wilkes-Barre, PA",26081
