,Quarter,Number of accounts in millions
0,Q3 '19,1151.0
1,Q2 '19,1132.7
2,Q1 '19,1111.7
3,Q4 '18,1097.6
4,Q3 '18,1082.5
5,Q2 '18,1057.7
6,Q1 '18,1040.0
7,Q4 '17,989.0
8,Q3 '17,980.0
9,Q2 '17,963.0
10,Q1 '17,938.0
11,Q4 '16,889.0
12,Q3 '16,846.0
13,Q2 '16,806.0
14,Q1 '16,762.0
15,Q4 '15,697.0
16,Q3 '15,650.0
17,Q2 '15,600.0
18,Q1 '15,549.0
19,Q4 '14,500.0
20,Q3 '14,468.0
21,Q2 '14,438.0
22,Q1 '14,396.0
23,Q4 '13*,355.0
24,Q3 '13,336.0
25,Q2 '13,235.8
26,Q1 '13,194.4
27,Q4 '12,160.8
28,Q3 '12,209.6
29,Q2 '12,151.0
30,Q1 '12,100.0
31,Q4 '11,50.0
32,Q3 '11,14.0
33,Q2 '11,2.8
