,Club,Revenue in million euros
0,VfB Stuttgart (Mercedes-Benz Arena)**,0.67
1,FC Bayern Munich (Allianz-Arena),6.0
2,FC Schalke 04 (Veltins Arena),6.0
3,Borussia Dortmund (Signal Iduna Park),5.8
4,Eintracht Frankfurt (Commerzbank-Arena),4.0
5,Fortuna Dusseldorf (Nerkur Spielarena),3.75
6,TSG 1899 Hoffenheim (Wirsol Rhein-Neckar-Arena),2.8
7,Hannover 96 (HDI Arena),2.6
8,Bayer 04 Leverkusen (BayArena),2.5
9,1. FSV Mainz 05 (Opel Arena),1.9
10,FC Augsburg (WWK Arena),1.4
11,FC Nurnberg (Max-Morlock Stadion),1.1
12,SC Freiburg (Schwarzwald-Stadion),0.53
