,Year,Export volume in million U.S. dollars
0,2019,3178.3
1,2018,2686.4
2,2017,2173.2
3,2016,1894.7
4,2015,3431.4
5,2014,5965.9
6,2013,6388.4
7,2012,5029.3
8,2011,4904.8
9,2010,4060.5
10,2009,3687.1
11,2008,4102.4
12,2007,2777.9
13,2006,2233.5
14,2005,1619.8
15,2004,1544.3
16,2003,1016.9
17,2002,1057.7
18,2001,955.1
19,2000,721.9
20,1999,627.9
21,1998,816.7
22,1997,813.0
23,1996,818.4
24,1995,602.9
25,1994,509.0
26,1993,894.7
27,1992,1001.1
28,1991,831.4
29,1990,553.2
30,1989,490.3
31,1988,356.8
32,1987,295.2
33,1986,408.8
34,1985,675.7
