,Month,Price in British pounds per kilogram
0,Nov '19,0.59
1,Oct '19,0.73
2,Sep '19,0.8
3,Aug '19,1.03
4,Jul '19,1.27
5,Jun '19,1.91
6,May '19,1.73
7,Apr '19,2.03
8,Nov '18,0.66
9,Oct '18,0.65
10,Sep '18,0.9
11,Aug '18,1.11
12,Jul '18,1.02
13,Jun '18,1.14
14,Dec '17,0.6
15,Nov '17,0.58
16,Oct '17,0.9
17,Sep '17,1.16
18,Aug '17,0.75
19,Jul '17,0.69
20,May '17,1.2
21,Apr '17,1.6
22,Mar '17,1.6
23,Nov '16,0.65
24,Aug '16,0.77
25,Jul '16,0.85
26,Jun '16,0.79
27,Nov '15,0.55
28,Sep '15,1.2
29,Aug '15,0.6
30,Jul '15,0.65
31,Jun '15,0.72
32,May '15,0.75
33,Apr '15,0.69
