,State,Sales in billion U.S. dollars
0,New York,10.29
1,California,7.39
2,Florida,7.15
3,Texas,6.25
4,Massachusetts*,5.49
5,Pennsylvania,4.88
6,Georgia,4.78
7,Ohio,4.42
8,Maryland,3.96
9,Michigan,3.88
10,New Jersey,3.48
11,Illinois,2.98
12,North Carolina,2.86
13,Virginia,2.29
14,South Carolina,1.98
15,Tennessee,1.81
16,Missouri,1.47
17,Oregon,1.35
18,Indiana,1.35
19,Connecticut,1.33
20,West Virginia,1.22
21,Kentucky,1.13
22,Arizona,1.08
23,Rhode Island*,0.96
24,Washington,0.8
25,Wisconsin*,0.71
26,Colorado,0.68
27,Delaware,0.65
28,Minnesota,0.64
29,Louisiana,0.52
30,Arkansas,0.52
31,Iowa,0.39
32,New Hampshire,0.38
33,Maine,0.3
34,Kansas,0.3
35,Idaho,0.29
36,South Dakota,0.29
37,Oklahoma,0.24
38,District of Columbia,0.21
39,Nebraska,0.19
40,Vermont,0.14
41,New Mexico,0.14
42,Montana,0.06
43,North Dakota,0.04
44,Wyoming,0.04
