,Month,Inflation rate*
0,Oct '20,6.4%
1,Sep '20,7.3%
2,Aug '20,7.9%
3,Jul '20,7.9%
4,Jun '20,8%
5,May '20,8.7%
6,Apr '20,8.9%
7,Mar '20,7.7%
8,Feb '20,7%
9,Jan '20,6.9%
10,Dec '19,5.7%
11,Nov '19,5.2%
12,Oct '19,5%
13,Sep '19,4.8%
14,Aug '19,5.3%
15,Jul '19,5.8%
16,Jun '19,5.6%
17,May '19,5.1%
18,Apr '19,5%
19,Mar '19,5.2%
20,Feb '19,5%
21,Jan '19,3.8%
22,Dec '18,4.5%
23,Nov '18,4.2%
24,Oct '18,4.5%
25,Sep '18,4.6%
26,Aug '18,3.9%
27,Jul '18,3.3%
28,Jun '18,3.1%
29,May '18,3.8%
30,Apr '18,4.1%
31,Mar '18,4.1%
32,Feb '18,3.8%
33,Jan '18,4.5%
34,Dec '17,3.4%
35,Nov '17,3.4%
36,Oct '17,3.2%
37,Sep '17,3%
38,Aug '17,3.2%
39,Jul '17,3.3%
40,Jun '17,3.1%
41,May '17,2.5%
42,Apr '17,1.9%
43,Mar '17,2%
44,Feb '17,1.7%
45,Jan '17,1.1%
46,Dec '16,1%
47,Nov '16,0.4%
48,Oct '16,0%
49,Sep '16,0.5%
50,Aug '16,0.3%
51,Jul '16,-0.2%
52,Jun '16,-0.9%
53,May '16,-0.4%
54,Apr '16,0.6%
55,Mar '16,0.7%
56,Feb '16,1.3%
57,Jan '16,1.4%
58,Dec '15,2.2%
59,Nov '15,2%
60,Oct '15,1.7%
61,Sep '15,0.8%
62,Aug '15,0.9%
63,Jul '15,0.9%
64,Jun '15,1.4%
65,May '15,1.2%
