,Us River,Discharge in thousand cubic feet per second
0,Mississippi (Louisiana)*,593.0
1,St Lawrence (Canada),348.0
2,Ohio (Illinois-Kentucky),281.0
3,Columbia (Oregon-Washington),265.0
4,Yukon (Alaska),225.0
5,Missouri (Missouri),76.2
6,Tennessee (Kentucky),68.0
7,Mobile (Alabama),67.2
8,Kuskokwim (Alaska),67.0
9,Copper (Alaska),59.0
10,Atchafalaya (Louisiana)**,58.0
11,Snake (Washington),56.9
12,Stikine (Alaska),56.0
13,Red River (Louisiana)**,56.0
14,Susitna (Alaska),51.0
15,Arkansas (Arkansas),41.0
16,Tanana (Alaska),41.0
17,Susquehanna (Maryland),38.2
18,Willamette (Oregon),37.4
19,Nushagak (Alaska),36.0
20,Procupine (Alaska),23.0
