,Metropolitan Statistical Area,"Violent crime rate per 100,000 inhabitnats"
0,"Anchorage, AK",1194.6
1,"Memphis, TN-MS-AR",1120.5
2,"Albuquerque, NM",1043.4
3,"Danville, IL",935.7
4,"Pine Bluff, AR",895.4
5,"Odessa, TX",881.8
6,"Alexandria, LA",849.2
7,"Lubbock, TX",838.5
8,"Florence, SC",823.4
9,"Monroe, LA",812.5
10,"Fairbanks, AK",794.5
11,"Stockton, CA",788.5
12,"Little Rock-North Little Rock-Conway, AR",782.3
13,"Wichita, KS",781.2
14,"Corpus Christi, TX",736.9
15,"Sumter, SC",718.6
16,"Albany, GA",717.6
17,"Lawton, OK",716.4
18,"Baltimore-Columbia-Towson, MD",698.7
19,"Gainesville, FL",692.1
20,"Rockford, IL",634.5
21,"Springfield, MO",632.7
22,"Battle Creek, MI",624.0
23,"Saginaw, MI",623.6
24,"Bakersfield, CA",621.1
25,"Jackson, TN",613.6
26,"Amarillo, TX",595.4
27,"Fort Smith, AR-OK",585.7
28,"Springfield, IL",584.0
29,"Columbia, SC",583.4
30,"Flint, MI",579.7
31,"Milwaukee-Waukesha, WI",577.9
32,"Kalamazoo-Portage, MI",572.5
33,"Nashville-Davidson–Murfreesboro–Franklin, TN",570.5
34,"Shreveport-Bossier City, LA",563.2
35,"Cleveland, TN",559.8
36,"Las Cruces, NM",556.9
37,"Jonesboro, AR",556.0
38,"Kokomo, IN",555.3
39,"Baton Rouge, LA",554.0
40,"Merced, CA",553.2
41,"New Orleans-Metairie, LA",551.5
42,"Niles, MI",550.7
43,"Lake Charles, LA",547.7
44,"Napa, CA",543.4
45,"Beaumont-Port Arthur, TX",541.2
46,"Rapid City, SD",532.2
47,"Greensboro-High Point, NC",530.2
48,"Tulsa, OK",529.6
49,"Modesto, CA",529.1
