,State,Number of road bridges
0,Texas,54432
1,Ohio,27167
2,Illinois,26825
3,California,25771
4,Kansas,24934
5,Missouri,24494
6,Iowa,24043
7,Oklahoma,23138
8,Pennsylvania,22911
9,Tennessee,20226
10,Indiana,19284
11,North Carolina,18407
12,New York,17540
13,Mississippi,17019
14,Alabama,16162
15,Nebraska,15332
16,Georgia,14940
17,Kentucky,14394
18,Wisconsin,14249
19,Virginia,13933
20,Minnesota,13346
21,Arkansas,12902
22,Louisiana,12884
23,Florida,12518
24,Michigan,11244
25,South Carolina,9419
26,Colorado,8785
27,Arizona,8320
28,Washington,8300
29,Oregon,8211
30,West Virginia,7291
31,New Jersey,6786
32,South Dakota,5821
33,Maryland,5402
34,Montana,5278
35,Massachusetts,5233
36,Idaho,4493
37,Connecticut,4336
38,North Dakota,4329
39,New Mexico,4014
40,Wyoming,3114
41,Utah,3063
42,Vermont,2818
43,New Hampshire,2502
44,Maine,2461
45,Nevada,2029
46,Alaska,1595
47,Hawaii,1138
48,Delaware,879
49,Rhode Island,779
50,District of Columbia,244
