,Month,Price in GBP per kilogram
0,Nov '19,0.79
1,Oct '19,0.88
2,Sep '19,0.96
3,Aug '19,1.12
4,Jul '19,1.09
5,Jun '19,0.72
6,May '19,0.73
7,Apr '19,0.71
8,Mar '19,0.81
9,Feb '19,1.05
10,Nov '18,0.79
11,Oct '18,0.91
12,Sep '18,1.08
13,Aug '18,1.21
14,Jul '18,0.88
15,Jun '18,0.9
16,May '18,0.92
17,Apr '18,0.77
18,Mar '18,0.89
19,Nov '17,0.63
20,Oct '17,0.8
21,Sep '17,0.76
22,Aug '17,0.77
23,Jul '17,0.85
24,Jun '17,0.73
25,May '17,0.63
26,Apr '17,0.71
27,Mar '17,1.01
28,Feb '17,1.28
29,Nov '16,0.76
30,Oct '16,0.82
31,Sep '16,0.86
32,Aug '16,1.21
33,Jul '16,0.84
34,Jun '16,0.81
35,May '16,0.7
36,Apr '16,0.69
37,Mar '16,0.74
38,Feb '16,0.76
39,Nov '15,0.62
40,Oct '15,0.74
41,Sep '15,0.91
42,Aug '15,1.13
43,Jul '15,0.79
44,Jun '15,0.61
45,May '15,0.65
46,Apr '15,0.7
47,Mar '15,0.72
48,Feb '15,1.23
