,Response,Share of respondents
0,Lack of real-time customer insights,31%
1,Operationalizing the CX,28%
2,Finding the budget for CX,25%
3,Legacy technology not being able to adjust,22%
4,Difficulty in measuring CX,20%
5,Lack of CX skills / knowledge,19%
6,Convincing areas of the business the importance of CX,18%
7,Demonstrating RoI for CX,18%
8,Personalization,18%
9,Siloed approach to managing customer experience,18%
10,Regularly needing to update / upgrade technology,17%
11,No owner or champion for CX within organizations,16%
12,Lack of central CX strategy,15%
13,There are currently no CX challenges,13%
