,Year,Mexico,Canada
0,2018,117.88,401.87
1,2017,109.67,391.21
2,2016,100.73,365.38
3,2015,101.33,361.95
4,2014,94.48,370.22
5,2013,86.43,370.26
6,2012,104.39,366.71
7,2011,85.6,330.04
8,2010,85.75,295.21
9,2009,84.05,274.81
10,2008,87.44,246.48
11,2007,91.05,250.64
12,2006,82.97,205.13
13,2005,73.69,231.84
14,2004,63.38,214.93
15,2003,56.85,187.95
16,2002,56.3,166.47
17,2001,52.54,152.6
18,2000,39.35,132.47
19,1999,37.15,119.59
20,1998,26.66,98.2
21,1997,24.05,96.63
22,1996,19.35,89.59
23,1995,16.87,83.5
24,1994,16.97,74.22
