,Month,Units sold
0,Dec 19,3801
1,Nov 19,5276
2,Oct 19,5538
3,Sep 19,14418
4,Aug 19,2686
5,Jul 19,5649
6,Jun 19,7803
7,May 19,6868
8,Apr 19,6468
9,Mar 19,16317
10,Feb 19,2682
11,Jan 19,5778
12,Dec 18,4009
13,Nov 18,4821
14,Oct 18,5297
15,Sep 18,16102
16,Aug 18,2689
17,Jul 18,5966
18,Jun 18,8663
19,May 18,7387
20,Apr 18,6987
21,Mar 18,18526
22,Feb 18,3049
23,Jan 18,6429
24,Dec 17,5026
25,Nov 17,6509
26,Oct 17,6553
27,Sep 17,16587
28,Aug 17,2441
29,Jul 17,6187
30,Jun 17,7965
31,May 17,7321
32,Apr 17,6958
33,Mar 17,18460
34,Feb 17,3009
35,Jan 17,6387
36,Dec 16,5625
37,Nov 16,6560
38,Oct 16,6585
39,Sep 16,17039
40,Aug 16,2440
41,Jul 16,6093
