,app name,Penetration rate among iOS users
0,"eBay: Buy, Sell, Save! Electronics, Fashion & More",23.67%
1,"Amazon App: shop, scan, compare, and read reviews",12.38%
2,"Groupon - Deals, Coupons & Discount Shopping App",11.97%
3,Apple Store,10.07%
4,"Etsy: Shop Handmade, Vintage & Creative Goods",3.67%
5,Wish - Shopping Made Fun,2.45%
6,H&M,1.77%
7,"Polyvore - Fashion, Trends, Style & Shopping",0.95%
8,"RedLaser Barcode Scanner, Shopping Assistant & QR Code Read",0.95%
9,Geek - Smarter Shopping,0.82%
10,"LivingSocial - Deals, Cashback & More",0.82%
11,AliExpress Shopping App,0.54%
12,Fancy,0.41%
13,ShopStyle - Find Exactly What Youre Shopping For,0.41%
14,QVC for iPhone,0.27%
15,Shop Savvy Barcode Scanner - Price Compare & Deals,0.27%
16,The Hunt - Style & Shopping,0.27%
17,AEO | Aerie,0.14%
18,artCircles,0.14%
19,Fab - #1 Shopping App for Accents & Decor,0.14%
