,State,Expenditure as a percentage of state GDP*
0,United States,3.17%
1,Vermont,5.35%
2,New Jersey,4.64%
3,Alaska,4.57%
4,West Virginia,4.4%
5,Maine,4.26%
6,Wyoming,4.15%
7,Rhode Island,4.04%
8,Arkansas,4%
9,Connecticut,3.97%
10,Mississippi,3.84%
11,New York,3.8%
12,Illinois,3.8%
13,Pennsylvania,3.66%
14,South Carolina,3.6%
15,New Hampshire,3.57%
16,Montana,3.55%
17,New Mexico,3.55%
18,Kentucky,3.44%
19,Louisiana,3.41%
20,Michigan,3.4%
21,Alabama,3.37%
22,Maryland,3.36%
23,Nebraska,3.35%
24,Ohio,3.33%
25,Wisconsin,3.21%
26,Iowa,3.21%
27,Missouri,3.21%
28,Georgia,3.2%
29,Kansas,3.2%
30,Massachusetts,3.16%
31,Minnesota,3.15%
32,Idaho,3.09%
33,Texas,3.06%
34,Virginia,3%
35,Indiana,2.94%
36,Oklahoma,2.92%
37,Hawaii,2.91%
38,North Dakota,2.88%
39,Delaware,2.87%
40,Oregon,2.87%
41,Utah,2.84%
42,South Dakota,2.77%
43,Arizona,2.74%
44,Nevada,2.72%
45,California,2.72%
46,Florida,2.68%
47,Tennessee,2.68%
48,North Carolina,2.59%
49,Colorado,2.55%
50,Washington,2.51%
51,District of Columbia,1.44%
