,Country,Points
0,USA,2181
1,Germany,2090
2,France,2036
3,Netherlands,2032
4,Sweden,2007
5,England,1999
6,Australia,1963
7,Brazil,1958
8,Canada,1958
9,Korea DPR,1940
10,Japan,1937
11,Norway,1930
12,Spain,1915
13,Italy,1889
14,China PR,1867
15,Denmark,1851
16,Belgium,1819
17,Korea Republic,1818
18,Iceland,1817
19,Switzerland,1815
20,Scotland,1804
21,Austria,1792
22,New Zealand,1757
23,Russia,1708
24,Colombia,1700
25,Ukraine,1692
26,Mexico,1686
27,Poland,1683
28,Czech Republic,1678
29,Finland,1671
30,Republic of Ireland,1666
31,Portugal,1659
32,Argentina,1659
33,Wales,1658
34,Vietnam,1657
35,Costa Rica,1644
36,Chile,1640
37,Nigeria,1614
38,Thailand,1596
39,Chinese Taipei,1589
40,Serbia,1558
41,Uzbekistan,1543
42,Hungary,1537
43,Romania,1535
44,Myanmar,1511
45,Papua New Guinea,1504
46,Slovakia,1501
47,Paraguay,1490
48,Slovenia,1471
49,Jamaica,1460
