,12 week period ending,Percentage growth (year-on-year)
0,6 Oct 19,0.5%
1,8 Sep 19,-2%
2,11 Aug 19,-0.4%
3,14 Jul 19,-1.5%
4,16 Jun 19,0.6%
5,21 Apr 19,1.4%
6,24 Mar 19,0.6%
7,24 Feb 19,1.7%
8,28 Jan 19,2.3%
9,8 Oct 18,4.8%
10,10 Sep 18,6%
11,13 Aug 18,3.8%
12,15 Jul 18,4.5%
13,17 Jun 18,2.5%
14,25 Mar 18,0.2%
15,25 Feb 18,-0.8%
16,28 Jan 18,1.3%
17,31 Dec 17,1.6%
18,3 Dec 17,1.3%
19,5 Nov 17,1.1%
20,8 Oct 17,2.6%
21,10 Sep 17,4%
22,16 Jul 17,5.7%
23,18 Jun 17,7.4%
24,21 May 17,8.6%
25,23 Apr 17,9.3%
26,26 Mar 17,9.8%
27,26 Feb 17,8.8%
28,29 Jan 17,8.6%
29,1 Jan 17,9.6%
30,4 Dec 16,8.6%
31,6 Nov 16,8.3%
32,9 Oct 16,6.9%
33,11 Sep 16,6.3%
34,14 Aug 16,4.3%
35,17 Jul 16,2.8%
36,19 Jun 16,3.5%
37,22 May 16,0.6%
38,24 Apr 16,-2.2%
39,27 Mar 16,-3.2%
40,31 Jan 16,-2%
41,3 Jan 16,-4.1%
42,6 Dec 15,-1.5%
43,8 Nov 15,-0.6%
44,11 Oct 15,3.2%
45,13 Sep 15,3.4%
46,16 Aug 15,3.4%
47,19 Jul 15,3%
