,Country,National contribution in million euros
0,Germany,26.11
1,France,21.86
2,Italy,15.74
3,Great Britain,14.55
4,Spain,10.37
5,Netherlands,4.74
6,Belgium,3.93
7,Poland,3.83
8,Sweden,3.77
9,Austria,3.03
10,Denmark,2.61
11,Finland,2.03
12,Greece,1681.3
13,Portugal,1646.0
14,Czech Republic,1395.5
15,Romania,1326.1
16,Ireland,1235.6
17,Hungary,831.6
18,Slovakia,646.1
19,Bulgaria,371.0
20,Slovenia,333.5
21,Lithuania,293.5
22,Luxembourg,264.7
23,Latvia,204.7
24,Cyprus,164.9
25,Estonia,153.5
26,Malta,59.2
