,Year,Gross domestic product in billion international dollars
0,2021*,347.81
1,2020*,327.41
2,2019,335.75
3,2018,314.5
4,2017,292.14
5,2016,274.86
6,2015,266.18
7,2014,253.69
8,2013,239.05
9,2012,230.4
10,2011,229.44
11,2010,220.73
12,2009,216.75
13,2008,230.56
14,2007,223.79
15,2006,217.41
16,2005,202.85
17,2004,188.71
18,2003,175.31
19,2002,165.36
20,2001,155.42
21,2000,146.13
22,1999,136.8
23,1998,130.84
24,1997,124.53
25,1996,118.68
26,1995,116.45
27,1994,111.24
28,1993,105.79
29,1992,103.94
30,1991,104.84
31,1990,115.1
32,1989,114.96
33,1988,109.82
34,1987,106.15
35,1986,99.55
36,1985,96.11
37,1984,93.4
