,Sports Team,Pay per player in million U.S. dollars
0,FC Barcelona (La Liga),13.75
1,Real Madrid (La Liga),10.64
2,Oklahoma City Thunder (NBA),10.33
3,Golden State Warriors (NBA),10.29
4,Washington Wizards (NBA),10.04
5,Toronto Raptors (NBA),9.97
6,Houston Rockets (NBA),9.85
7,Miami Heat (NBA),9.26
8,Juventus Turin (Serie A),8.85
9,Manchester United (EPL),8.6
10,Charlotte Hornets (NBA),8.59
11,Minnesota Timberwolves (NBA),8.51
12,Boston Celtics (NBA),8.44
13,Portland Trail Blazers (NBA),8.43
14,Bayern Munich (Bundesliga),8.36
15,Cleveland Cavaliers (NBA),8.26
16,Atletico Madrid (La Liga),8.1
17,Paris Saint-Germain (Ligue 1),8.03
18,Memphis Grizzlies (NBA),8.02
19,Manchester City (EPL),8.02
