,Response,Share of foreign nationals in the total population
0,Luxembourg,47.42%
1,Austria,16.06%
2,Estonia,15.03%
3,Latvia,13.88%
4,Ireland,12.47%
5,Belgium,12.21%
6,Germany,12.14%
7,Spain,10.31%
8,Denmark,8.91%
9,Sweden,8.8%
10,Italy,8.71%
11,EU,7.8%
12,Greece,7.75%
13,France,7.29%
14,Slovenia,6.64%
15,Netherlands,6.11%
16,Czech Republic,5.23%
17,Portugal,4.67%
18,Finland,4.62%
19,Hungary,1.85%
20,Lithuania,1.65%
21,Croatia,1.61%
22,Slovakia,1.37%
23,Bulgaria,1.34%
24,Poland,0.76%
25,Romania,0.62%
