,Year,Inflation rate compared to previous year
0,2024*,7.08%
1,2023*,7%
2,2022*,7.01%
3,2021*,7.22%
4,2020*,9.97%
5,2019*,13.87%
6,2018,20.86%
7,2017,23.54%
8,2016,10.2%
9,2015,10.99%
10,2014,10.1%
11,2013,6.91%
12,2012,8.65%
13,2011,11.09%
14,2010,11.69%
15,2009,16.24%
16,2008,11.7%
17,2007,10.96%
18,2006,4.2%
19,2005,8.83%
20,2004,8.11%
21,2003,3.21%
22,2002,2.43%
23,2001,2.43%
24,2000,2.85%
25,1999,3.75%
26,1998,5.04%
27,1997,6.17%
28,1996,7.1%
29,1995,9.36%
30,1994,9.05%
31,1993,11.04%
32,1992,21.14%
33,1991,14.74%
34,1990,21.22%
35,1989,20.13%
36,1988,15.19%
37,1987,25.19%
38,1986,23.9%
39,1985,12.11%
40,1984,17.06%
