,Year,Number of total firearms manufactured
0,2017,8327792
1,2016,11497441
2,2015,9358661
3,2014,9050626
4,2013,10844792
5,2012,8578610
6,2011,6541886
7,2010,5459240
8,2009,5555818
9,2008,4498944
10,2007,3922613
11,2006,3653324
12,2005,3241494
13,2004,3099025
14,2003,3308404
15,2002,3366895
16,2001,2932655
17,2000,3793541
18,1999,4047747
19,1998,3713590
20,1997,3593504
21,1996,3854439
22,1995,4316342
23,1994,5173217
24,1993,5055637
25,1992,4175836
26,1991,3563106
27,1990,3959968
28,1989,4418393
29,1988,3963877
30,1987,3559663
31,1986,3040934
