,Country,Index value*
0,Norway,90.95
1,Denmark,90.09
2,Switzerland,89.89
3,Finland,89.56
4,Sweden,89.45
5,Iceland,89.29
6,New Zealand,88.93
7,Germany,88.84
8,Canada,88.81
9,Japan,88.34
10,Netherlands,88.31
11,Australia,88.02
12,United Kingdom,87.98
13,Ireland,87.97
14,France,87.79
15,Luxembourg,87.66
16,Spain,87.47
17,Portugal,87.12
18,Belgium,86.77
19,Austria,86.4
20,Slovenia,85.8
21,Italy,85.69
22,"Korea, Republic of",85.61
23,Czech Republic,84.36
24,Estonia,83.98
25,United States,83.62
26,Singapore,83.23
27,Cyprus,83.14
28,Malta,82.63
29,Greece,82.48
30,Israel,81.44
31,Lithuania,81.3
32,Poland,81.25
33,Costa Rica,80.65
34,Slovakia,80.43
35,Latvia,80.42
36,Chile,80.02
37,Croatia,79.21
38,Hungary,78.77
39,Barbados,77.89
40,Uruguay,77.77
41,Argentina,76.86
42,Bulgaria,76.17
43,Mauritius,74.88
44,Romania,74.81
45,Malaysia,74.17
46,Panama,73.96
47,Belarus,73.9
48,Brazil,72.87
49,Jamaica,72.58
