,Response,Percentage of facilities
0,Outpatient treatment,82%
1,Regular outpatient treatment,76%
2,Intensive outpatient treatment,46%
3,Outpatient methadone/buprenorphine maintenace or Vivitrol treatment,33%
4,Outpatient day treatment/partial hospitalization,14%
5,Outpatient detoxification,11%
6,Residential (non-hospital) treatment,24%
7,Long-term residential treatment (more than 30 days),19%
8,Short-term residential treatment (30 days or fewer),15%
9,Residential detoxification,9%
10,Hospital inpatient treatment,6%
11,Inpatient detoxification,5%
12,Inpatient treatment,4%
