,State,Percentage of individuals accessing the internet anywhere
0,Colorado,88.2%
1,Utah,88.1%
2,New Hampshire,87.8%
3,District of Columbia,87.3%
4,Minnesota,85.4%
5,Iowa,84.3%
6,Oregon,84.1%
7,Illinois,83.8%
8,Rhode Island,83.7%
9,Idaho,83.7%
10,Oklahoma,83.2%
11,Maryland,82.9%
12,Wisconsin,82.6%
13,Arizona,82.1%
14,Virginia,81.7%
15,Nebraska,81.4%
16,New Jersey,81.3%
17,Montana,81.3%
18,Hawaii,81.3%
19,South Carolina,81.1%
20,Arkansas,80.9%
21,North Dakota,80.6%
22,Missouri,80.6%
23,Indiana,80.5%
24,Washington,80.3%
25,Alabama,80.1%
26,Vermont,80.1%
27,Connecticut,79.9%
28,South Dakota,79.8%
29,Georgia,79.4%
30,Total US,79.4%
31,Michigan,79.3%
32,Wyoming,79.1%
33,Maine,78.9%
34,New Mexico,78.5%
35,Kentucky,78.5%
36,Ohio,78.3%
37,Delaware,78.3%
38,Kansas,78.1%
39,Nevada,77.8%
40,California,77.8%
41,Texas,77.7%
42,West Virginia,77.3%
43,Florida,77.3%
44,Massachusetts,77.1%
45,Pennsylvania,76.8%
46,Alaska,76.8%
47,Louisiana,76.3%
48,Tennessee,76.2%
49,New York,76.2%
50,Mississippi,75.9%
51,North Carolina,74.3%
