,Museum,Attendance in thousands
0,"Louvre, Paris",10200
1,"Vatican Museums, Vatican",6756
2,"British Museum, London",5869
3,"Tate Modern, London",5829
4,"National Gallery, London",5736
5,"Natural History Museum, London",5226
6,"State Hermitage, St Petersburg",4294
7,"Victoria and Albert Museum, London",3968
8,"Reina Sofia, Madrid",3898
9,"Centre Pompidou, Paris",3552
10,"Science Museum (South Kensington), London",3286
11,"Musée D'Orsay, Paris",3175
12,"Museo Nacional Del Prado, Madrid",2893
13,"Galleria Degli Uffizi, Florence",2330
14,"Rijksmuseum, Amsterdam",2300
15,"Cité des Sciences et de l'Industrie, Paris",2231
16,"National Museum of Scotland, Edinburgh",2228
17,"Van Gogh Museum, Amsterdam",2206
18,"Auschwitz-Birkenau Museum, Oświęcim",2152
19,"State Tretyakov Gallery, Moscow",2149
