,Travel Company,Number of employees
0,Expedia Inc.*,20000
1,Flight Centre Travel Group USA,19267
2,The Priceline Group,18000
3,Carlson Wagonlit Travel,17100
4,BCD Travel,13000
5,HRG North America,12000
6,American Express Global Business Travel,12000
7,Travel Leaders Group,8360
8,AAA Travel,4209
9,JTB Americas Group,2242
10,Corporate Travel Management,2200
11,International Cruise & Excursions (ICE),2134
12,Altour,1596
13,Travel and Transport,1328
14,World Travel Holdings,1217
15,Direct Travel,1200
16,Frosch,1050
17,Ovation Travel Group,550
18,Omega World Travel,530
19,World Travel,505
