,Company,Net profit in thousand DKK
0,Carlsberg Global Business Services A/S,140086
1,Visma BLUEGARDEN A/S,116507
2,Zitcom A/S,89097
3,Jobindex A/S,88404
4,Just Eat.dk ApS,77450
5,IT Relation A/S,64630
6,Silkeborg Data A/S,44135
7,Byggefakta A/S,35459
8,Compugroup Medical Denmark A/S,31988
9,Forsikringens Datacenter A/S,30117
10,Proløn A/S,25200
11,Six Financial Information Denmark A/S,24210
12,"Nordiske Medier, Aalborg A/S",24046
13,SØGEMEDIER ApS,22840
14,Amino ApS,22600
15,HLTV.org ApS,20462
16,Secunia ApS,18276
17,Moviestarplanet ApS,18153
18,E-boks A/S,17673
19,S360 A/S,16984
