,Country,GDP per capita in U.S. dollars
0,Bahamas*,31857.89
1,Puerto Rico,31651.35
2,St. Kitts and Nevis,19829.43
3,Uruguay,17277.97
4,Antigua and Barbuda,16864.38
5,Trinidad and Tobago,16843.7
6,Barbados *,16327.61
7,Chile,15923.36
8,Panama,15575.07
9,Costa Rica,12026.55
10,Argentina,11652.57
11,Grenada,10833.66
12,St. Lucia,10315.03
13,Mexico,9698.08
14,Regional average,9023.5
15,Brazil,8920.76
16,Cuba *,8541.21
17,Dominican Republic,7650.07
18,St. Vincent and the Grenadines,7377.68
19,Dominica,7031.71
20,Peru,6947.26
21,Colombia,6651.29
22,Ecuador,6344.87
23,Suriname,5950.21
24,Paraguay,5871.47
25,Jamaica,5355.58
26,Belize,5025.18
27,Guyana,4634.68
28,Guatemala,4549.01
29,El Salvador,4058.24
30,Bolivia,3548.59
31,Honduras,2482.73
32,Nicaragua,2028.9
33,Haiti,868.28
