,Year,GDP in billion U.S. dollars
0,2024*,4631.76
1,2023*,4223.84
2,2022*,3847.97
3,2021*,3509.65
4,2020*,3202.18
5,2019*,2935.57
6,2018,2718.73
7,2017,2652.25
8,2016,2289.75
9,2015,2103.59
10,2014,2039.13
11,2013,1856.72
12,2012,1827.64
13,2011,1823.05
14,2010,1708.46
15,2009,1365.37
16,2008,1224.1
17,2007,1238.7
18,2006,949.12
19,2005,834.22
20,2004,721.59
21,2003,618.37
22,2002,523.77
23,2001,493.93
24,2000,476.64
25,1999,466.84
26,1998,428.77
27,1997,423.19
28,1996,399.79
29,1995,366.6
30,1994,333.01
31,1993,284.19
32,1992,293.26
33,1991,274.84
34,1990,326.61
35,1989,300.19
36,1988,299.65
37,1987,283.75
38,1986,252.75
39,1985,237.62
40,1984,215.56
