,Country,Number of monthly active mobile social users in millions
0,Russia,67.8
1,United Kingdom (UK),44
2,France,38
3,Germany,38
4,Italy,34
5,Spain,27
6,Liechtenstein,0.02
7,Poland,17
8,Ukraine,13
9,Netherlands,11
10,Romania,10
11,Sweden,7.3
12,Belgium,7.5
13,Portugal,6.6
14,Greece,-
15,Hungary,5.8
16,Czech Republic,5.3
17,Switzerland,4.4
18,Denmark,4.1
19,Austria,4.4
20,Norway,3.7
21,Belarus,4.67
22,Bulgaria,3.7
23,Ireland,3.1
24,Finland,3.2
25,Slovakia,2.7
26,Lithuania,1.6
27,Latvia,0.92
28,Moldova,1
29,Estonia,0.72
30,Luxembourg,0.36
31,Malta,0.36
32,Iceland,0.27
