,Year,Number of total firearms manufactured
0,2018,9052628
1,2017,8327792
2,2016,11497441
3,2015,9358661
4,2014,9050626
5,2013,10844792
6,2012,8578610
7,2011,6541886
8,2010,5459240
9,2009,5555818
10,2008,4498944
11,2007,3922613
12,2006,3653324
13,2005,3241494
14,2004,3099025
15,2003,3308404
16,2002,3366895
17,2001,2932655
18,2000,3793541
19,1999,4047747
20,1998,3713590
21,1997,3593504
22,1996,3854439
23,1995,4316342
24,1994,5173217
25,1993,5055637
26,1992,4175836
27,1991,3563106
28,1990,3959968
29,1989,4418393
30,1988,3963877
31,1987,3559663
32,1986,3040934
