,Year,GDP per capita in U.S. dollars
0,2025*,1047.52
1,2024*,997.37
2,2023*,949.12
3,2022*,900.04
4,2021*,850.79
5,2020*,768.83
6,2019*,774.7
7,2018,820.53
8,2017,738.01
9,2016,687.48
10,2015,653.39
11,2014,704.98
12,2013,700.25
13,2012,674.2
14,2011,667.45
15,2010,574.33
16,2009,554.18
17,2008,572.44
18,2007,475.79
19,2006,419.81
20,2005,407.82
21,2004,371.69
22,2003,332.88
23,2002,261.76
24,2001,237.45
25,2000,226.84
26,1999,267.02
27,1998,255.72
28,1997,229.49
29,1996,249.36
30,1995,235.83
31,1994,196.03
32,1993,334.95
33,1992,361.05
34,1991,346.41
35,1990,351.99
36,1989,304.85
37,1988,313.06
38,1987,291.13
39,1986,256.77
40,1985,200.9
