,Month,Units sold
0,Dec 19,6212
1,Nov 19,10382
2,Oct 19,6007
3,Sep 19,27403
4,Aug 19,4864
5,Jul 19,10398
6,Jun 19,15540
7,May 19,13461
8,Apr 19,10639
9,Mar 19,37769
10,Feb 19,4905
11,Jan 19,12250
12,Dec 18,12645
13,Nov 18,11560
14,Oct 18,9437
15,Sep 18,28847
16,Aug 18,5078
17,Jul 18,11781
18,Jun 18,18218
19,May 18,13983
20,Apr 18,11214
21,Mar 18,37023
22,Feb 18,4860
23,Jan 18,12652
24,Dec 17,13303
25,Nov 17,10343
26,Oct 17,9740
27,Sep 17,31058
28,Aug 17,6678
29,Jul 17,11528
30,Jun 17,20981
31,May 17,14041
32,Apr 17,10732
33,Mar 17,46564
34,Feb 17,6299
35,Jan 17,13870
36,Dec 16,17074
37,Nov 16,15976
38,Oct 16,14949
39,Sep 16,41697
40,Aug 16,8579
41,Jul 16,19733
