,Year,Number of cumulative cases
0,1/5/21,86405927
1,1/4/21,85672034
2,1/3/21,85122080
3,1/2/21,84586904
4,1/1/21,83963772
5,12/31/20,83424446
6,12/30/20,82708280
7,12/29/20,81951541
8,12/28/20,81285853
9,12/27/20,80797122
10,12/26/20,80364202
11,12/25/20,79851573
12,12/24/20,79384038
13,12/23/20,78712545
14,12/22/20,78020948
15,12/21/20,77374480
16,12/20/20,76832527
17,12/19/20,76298735
18,12/18/20,75682359
19,12/17/20,74964751
20,12/16/20,74228327
21,12/15/20,73494536
22,12/14/20,72870103
23,12/13/20,72345678
24,12/12/20,71797078
25,12/11/20,71174074
26,12/10/20,70475025
27,12/9/20,68980972
28,12/8/20,68311479
29,12/7/20,67673996
30,12/6/20,67158896
31,12/5/20,66619544
32,12/4/20,65976648
33,12/3/20,65295914
34,12/2/20,64603434
35,12/1/20,63956130
36,11/30/20,63347635
37,11/29/20,62842162
38,11/28/20,62355818
39,11/27/20,61757100
40,11/26/20,61086011
41,11/25/20,60501579
42,11/24/20,59865574
43,11/23/20,59276210
44,11/22/20,58757253
45,11/21/20,58268894
46,11/20/20,57680030
47,11/19/20,57012958
48,11/18/20,56361057
49,11/17/20,55734998
50,11/16/20,55127112
51,11/15/20,54596104
52,11/14/20,54121862
53,11/13/20,53526599
54,11/12/20,52875710
55,11/11/20,52228245
56,11/10/20,51580637
57,11/9/20,51022748
58,11/8/20,50520274
59,11/7/20,50040908
60,11/6/20,49442915
61,11/5/20,48799240
62,11/4/20,48203697
63,11/3/20,47693426
64,11/2/20,47140871
65,11/1/20,46579884
66,10/31/20,46117683
67,10/30/20,45641595
68,10/29/20,45071405
69,10/28/20,44521391
70,10/27/20,44010608
71,10/26/20,43541356
72,10/25/20,43055358
73,10/24/20,42694987
74,10/23/20,42238234
75,10/22/20,41742073
76,10/21/20,41269869
77,10/20/20,40825619
78,10/19/20,40436980
79,10/18/20,40050552
80,10/17/20,39733921
81,10/16/20,39361310
82,10/15/20,38950083
83,10/14/20,38543448
84,10/13/20,38161563
85,10/12/20,37842739
86,10/11/20,37551609
87,10/10/20,37264050
88,10/9/20,36907485
89,10/8/20,36547071
90,10/7/20,36185785
91,10/6/20,35835120
92,10/5/20,35509247
93,10/4/20,35208617
94,10/3/20,34946710
95,10/2/20,34614672
96,10/1/20,34317276
97,9/30/20,33999210
98,9/29/20,33671083
99,9/28/20,33389254
100,9/27/20,33135284
101,9/26/20,32883719
102,9/25/20,32595593
103,9/24/20,32265204
104,9/23/20,31912900
105,9/22/20,31637545
106,9/21/20,31353490
107,9/20/20,31077672
108,9/19/20,30825596
109,9/18/20,30533416
110,9/17/20,30207772
111,9/16/20,29892950
112,9/15/20,29588876
113,9/14/20,29303533
114,9/13/20,29040262
115,9/12/20,28797456
116,9/11/20,28510977
117,9/10/20,28189890
118,9/9/20,27889943
119,9/8/20,27605220
120,9/7/20,27363369
121,9/6/20,27145595
122,9/5/20,26914845
123,9/4/20,26644864
124,9/3/20,26331039
125,9/2/20,26049992
126,9/1/20,25766467
127,8/31/20,25501715
128,8/30/20,25239068
129,8/29/20,25017791
130,8/28/20,24751260
131,8/27/20,24467592
132,8/26/20,24183850
133,8/25/20,23899722
134,8/24/20,23655997
135,8/23/20,23430769
136,8/22/20,23224361
137,8/21/20,22959904
138,8/20/20,22698858
139,8/19/20,22426342
140,8/18/20,22146490
141,8/17/20,21888348
142,8/16/20,21680469
143,8/15/20,21464275
144,8/14/20,21216955
145,8/13/20,20913936
146,8/12/20,20624230
147,8/11/20,20346972
148,8/10/20,20090473
149,8/9/20,19863462
150,8/8/20,19638069
151,8/7/20,19379581
152,8/6/20,19098152
153,8/5/20,18812950
154,8/4/20,18536427
155,8/3/20,18280103
156,8/2/20,18074408
157,8/1/20,17842857
158,7/31/20,17593931
159,7/30/20,17302946
160,7/29/20,17022514
161,7/28/20,16731027
162,7/27/20,16479069
163,7/26/20,16253250
164,7/25/20,16040277
165,7/24/20,15785888
166,7/23/20,15504677
167,7/22/20,15221747
168,7/21/20,14940469
169,7/20/20,14707359
170,7/19/20,14500967
171,7/18/20,14287228
172,7/17/20,14050878
173,7/16/20,13808502
174,7/15/20,13556384
175,7/14/20,13324911
176,7/13/20,13103178
177,7/12/20,12912321
178,7/11/20,12719735
179,7/10/20,12502211
180,7/9/20,12269629
181,7/8/20,12042625
182,7/7/20,11828845
183,7/6/20,11617428
184,7/5/20,11452930
185,7/4/20,11269688
186,7/3/20,11075680
187,7/2/20,10874057
188,7/1/20,10665134
189,6/30/20,10447667
190,6/29/20,10273694
191,6/28/20,10119217
192,6/27/20,9955755
193,6/26/20,9778118
194,6/25/20,9586818
195,6/24/20,9408237
196,6/23/20,9237176
197,6/22/20,9071294
198,6/21/20,8932952
199,6/20/20,8804913
200,6/19/20,8648275
201,6/18/20,8468486
202,6/17/20,8328152
203,6/16/20,8184990
204,6/15/20,8043069
205,6/14/20,7923625
206,6/13/20,7791149
207,6/12/20,7655982
208,6/11/20,7527334
209,6/10/20,7389458
210,6/9/20,7254563
211,6/8/20,7129785
212,6/7/20,7027195
213,6/6/20,6915223
214,6/5/20,6781099
215,6/4/20,6649743
216,6/3/20,6519015
217,6/2/20,6404720
218,6/1/20,6283302
219,5/31/20,6187617
220,5/30/20,6080995
221,5/29/20,5944039
222,5/28/20,5822948
223,5/27/20,5704043
224,5/26/20,5601251
225,5/25/20,5507621
226,5/24/20,5420782
227,5/23/20,5326614
228,5/22/20,5221533
229,5/21/20,5114997
230,5/20/20,5008397
231,5/19/20,4906666
232,5/18/20,4809885
233,5/17/20,4720844
234,5/16/20,4643002
235,5/15/20,4548277
236,5/14/20,4452527
237,5/13/20,4356139
238,5/12/20,4271251
239,5/11/20,4187133
240,5/10/20,4110202
241,5/9/20,4034910
242,5/8/20,3950120
243,5/7/20,3859785
244,5/6/20,3771007
245,5/5/20,3681127
246,5/4/20,3600779
247,5/3/20,3523175
248,5/2/20,3446630
249,5/1/20,3367339
250,4/30/20,3279073
251,4/29/20,3195544
252,4/28/20,3118508
253,4/27/20,3043202
254,4/26/20,2973163
255,4/25/20,2901458
256,4/24/20,2819191
257,4/23/20,2735103
258,4/22/20,2650749
259,4/21/20,2569728
260,4/20/20,2494115
261,4/19/20,2418166
262,4/18/20,2341473
263,4/17/20,2264120
264,4/16/20,2176408
265,4/15/20,2080830
266,4/14/20,2003732
267,4/13/20,1919797
268,4/12/20,1849041
269,4/11/20,1729309
270,4/10/20,1654968
271,4/9/20,1569454
272,4/8/20,1482433
273,4/7/20,1399055
274,4/6/20,1329228
275,4/5/20,1256089
276,4/4/20,1183501
