,profession,Job openings in thousand
0,Retail salespersons,1958.7
1,Cashiers,1775.9
2,Waiters and waitresses,1324.3
3,Registered nurses,1207.4
4,"Combined food preparation and serving workers, including fast food",1146.5
5,"Office clerks, general",1011.5
6,"Laborers and freight, stock, and material moveers, hand",980.2
7,Customer service representatives,959.6
8,Home health aides,837.5
9,"Janitors and cleaners, except maids and housekeeping cleaners",682.0
10,Personal care aides,675.2
11,Childcare workers,665.8
12,Heavy and tractor-trailer truck drivers,649.4
13,Postsecondary teachers,586.1
14,First-line supervisors of office and administrative support workers,584.4
15,"Elementary schook teachers, except special education",573.2
16,Receptionists and information clerks,565.6
17,"Sales representatives, wholesale and manufacturing, except technical and scientific products",559.9
18,First-line supervisors of retail sales workers,513.7
19,"Nursing aides, orderlies and attendants",496.1
20,Teacher asssistants,481.6
21,"Bookkeeping, accounting and auditing clerks",467.8
22,Stock clerks and order fillers,465.0
23,Accountants and auditors,452.1
24,Landscaping and groundskeeping workers,444.4
25,General and operations managers,410.1
26,Carpenters,408.3
27,"Secretaries and administrative assistants, except legal, medical and executive",391.0
28,"Maintenance and repair workers, general",379.1
29,Food preparation workers,377.1
