,State,Volume of trade goods in million U.S. dollars
0,Alabama,28437.7
1,Alaska,2294.6
2,Arizona,26551.4
3,Arkansas,9605.0
4,California,408128.4
5,Colorado,13124.2
6,Connecticut,20077.3
7,Delaware,9519.6
8,Dist of Columbia,680.8
9,Florida,81742.1
10,Georgia,102142.0
11,Hawaii,3784.3
12,Idaho,5127.8
13,Illinois,163854.1
14,Indiana,64421.1
15,Iowa,10073.8
16,Kansas,12181.5
17,Kentucky,56880.0
18,Louisiana,29368.7
19,Maine,4643.9
20,Maryland,35576.9
21,Massachusetts,36470.3
22,Michigan,142447.5
23,Minnesota,29987.9
24,Mississippi,17049.6
25,Missouri,20559.4
26,Montana,4652.5
27,Nebraska,4270.7
28,Nevada,10950.5
29,New Hampshire,10540.0
30,New Jersey,126295.2
31,New Mexico,4450.1
32,New York,132931.7
33,North Carolina,59603.6
34,North Dakota,3428.2
35,Ohio,69014.3
36,Oklahoma,11830.1
37,Oregon,18661.9
38,Pennsylvania,90001.0
39,Rhode Island,11588.1
40,South Carolina,42314.8
41,South Dakota,1149.6
42,Tennessee,87227.9
43,Texas,294765.4
44,Utah,15259.3
45,Vermont,3939.1
46,Virginia,30014.3
47,Washington,52898.5
48,West Virginia,3516.4
49,Wisconsin,28482.5
50,Wyoming,1475.9
