,State,"Confirmed cases per 100,000 persons"
0,Maine,83.0
1,New Hampshire,68.3
2,Rhode Island,62.5
3,Pennsylvania,61.8
4,Vermont,55.6
5,Delaware,52.2
6,Connecticut,35.5
7,New Jersey,32.3
8,West Virginia,30.7
9,Wisconsin,19.3
10,Minnesota,16.9
11,Maryland,14.8
12,New York,12.5
13,Virginia,8.7
14,District of Columbia,8.1
15,Iowa,2.9
16,Ohio,2.1
17,North Dakota,1.8
18,Michigan,1.8
19,Illinois,1.5
20,Alaska,1.1
21,Indiana,1.1
22,Montana,0.5
23,North Carolina,0.5
24,Florida,0.5
25,South Dakota,0.5
26,Nebraska,0.4
27,Alabama,0.4
28,Idaho,0.3
29,Utah,0.3
30,Kansas,0.3
31,California,0.2
32,Massachusetts,0.2
33,Nevada,0.2
34,South Carolina,0.2
35,Tennessee,0.2
36,Oregon,0.2
37,Kentucky,0.1
38,Arizona,0.1
39,Washington,0.1
40,Texas,0.1
41,Colorado,0.1
42,Georgia,0.0
43,Oklahoma,0.0
44,Louisiana,0.0
45,Hawaii,0.0
46,New Mexico,0.0
47,Arkansas,0.0
48,Mississippi,0.0
49,Wyoming,0.0
50,Missouri,0.0
