,state of India,Number of hospital beds
0,Total,265275
1,Tamil Nadu,40179
2,Uttar Pradesh,39104
3,Karnataka,21176
4,West Bengal,19684
5,Kerala,16865
6,Rajasthan,12540
7,Maharashtra,12398
8,Gujarat,11688
9,Assam,10944
10,Madhya Pradesh,9900
11,Telangana,7668
12,Haryana,6690
13,Andhra Pradesh,6480
14,Odisha,6339
15,Jharkhand,5842
16,Punjab,5805
17,Himachal Pradesh,5665
18,Bihar,5510
19,Chhattisgarh,5070
20,Uttarakhand,3284
21,Arunachal Pradesh,2136
22,Tripura,1982
23,Meghalaya,1970
24,Goa,1397
25,Jammu & Kashmir,1221
26,Manipur,730
27,Nagaland,630
28,Mizoram,604
29,Andaman and Nicobar,575
30,Dadra & Nagar Haveli,303
31,Lakshadweep,300
32,Sikkim,260
33,Daman & Diu,240
34,Puducherry,96
