,State,Number of employed persons in thousands
0,California,18627
1,Texas,13552
2,Florida,10016
3,New York,9138
4,Pennsylvania,6208
5,Illinois,6191
6,Ohio,5564
7,Georgia,4935
8,North Carolina,4884
9,Michigan,4736
10,New Jersey,4333
11,Virginia,4289
12,Washington,3748
13,Massachusetts,3707
14,Arizona,3385
15,Indiana,3275
16,Tennessee,3232
17,Maryland,3144
18,Colorado,3062
19,Minnesota,3009
20,Wisconsin,3001
21,Missouri,2982
22,South Carolina,2308
23,Alabama,2174
24,Oregon,2025
25,Louisiana,1994
26,Kentucky,1984
27,Connecticut,1842
28,Oklahoma,1781
29,Iowa,1691
30,Utah,1566
31,Nevada,1482
32,Kansas,1440
33,Arkansas,1314
34,Mississippi,1207
35,Nebraska,1004
36,New Mexico,908
37,Idaho,856
38,West Virginia,758
39,New Hampshire,754
40,Maine,672
41,Hawaii,647
42,Rhode Island,536
43,Montana,515
44,Delaware,469
45,South Dakota,449
46,North Dakota,394
47,District of Columbia,387
48,Vermont,334
49,Alaska,326
50,Wyoming,282
