,American football player,Number of yards
0,Jerry Rice (1985-2004),22895
1,Larry Fitzgerald (2004-2020),17492
2,Terrell Owens (1996-2010),15934
3,Randy Moss (1998-2012),15292
4,Isaac Bruce (1994-2009),15208
5,Tony Gonzalez (1997-2013),15127
6,Tim Brown 1988-2004),14934
7,Steve Smith (2001-2016),14731
8,Marvin Harrison (1996-2008),14580
9,Reggie Wayne (2001-2014),14345
10,Andre Johnson (2003-2016),14185
11,James Lofton (1978-1993),14004
12,Cris Carter (1987-2002),13899
13,Anquan Boldin (2003-2016),13779
14,Henry Ellard (1983-1998),13777
15,Torry Holt (1999-2009),13382
16,Andre Reed (1985-2000),13198
17,Steve Largent (1976-1989),13089
18,Jason Witten (2003-2020),13046
19,Julio Jones (2011-2020),12896
