,Year,Number of households in millions
0,2019,128.58
1,2018,127.59
2,2017,126.22
3,2016,125.82
4,2015,124.59
5,2014,123.23
6,2013,122.46
7,2012,121.08
8,2011,118.68
9,2010,117.54
10,2009,117.18
11,2008,116.78
12,2007,116.01
13,2006,114.38
14,2005,113.34
15,2004,112.0
16,2003,111.28
17,2002,109.3
18,2001,108.21
19,2000,104.71
20,1999,103.87
21,1998,102.53
22,1997,101.02
23,1996,99.63
24,1995,98.99
25,1994,97.11
26,1993,96.39
27,1992,95.67
28,1991,94.31
29,1990,93.35
30,1989,92.83
31,1988,91.07
32,1987,89.48
33,1986,88.46
34,1985,86.79
35,1984,85.41
36,1983,83.92
37,1982,83.53
38,1981,82.37
39,1980,80.78
40,1979,77.33
41,1978,76.03
42,1977,74.14
43,1976,72.87
44,1975,71.12
45,1974,69.86
46,1973,68.25
47,1972,66.68
48,1971,64.78
49,1970,63.4
50,1960,52.8
