,Life insurance company,Market capitalization in billion U.S. dollars
0,Ping An Insurance Group (China),187.2
1,AIA Group (Hong Kong),111.8
2,China Life Insurance (China),60.3
3,Prudential (United Kingdom),36.9
4,Metlife (United States),32.8
5,Japan Post Holdings (Japan),32.7
6,China Pacific Insurance (China),30.0
7,Aflac (United States),26.9
8,Manulife (Canada),24.5
9,Cathay Financial (Taiwan),17.7
10,Legal & General Group (United Kingdom),15.3
11,Dai-ichi Life Insurance (Japan),14.4
12,Aviva (United Kingdom),12.0
13,Swiss Life Holding (Switzerland),11.3
14,New China Life Insurance (China),10.8
