,Year,Inflation rate compared to previous year
0,2025*,3%
1,2024*,3%
2,2023*,3%
3,2022*,2.97%
4,2021*,3.03%
5,2020*,2.44%
6,2019,2.48%
7,2018,5.21%
8,2017,2.85%
9,2016,1.25%
10,2015,0.67%
11,2014,3.6%
12,2013,2.58%
13,2012,3.02%
14,2011,4.76%
15,2010,4.11%
16,2009,3.23%
17,2008,9.31%
18,2007,2.78%
19,2006,6.25%
20,2005,7.7%
21,2004,5.96%
22,2003,3.45%
23,2002,3.06%
24,2001,6.77%
25,2000,3.92%
26,1999,5.97%
27,1998,9.25%
28,1997,5.56%
29,1996,7.49%
30,1995,6.84%
31,1994,10.37%
32,1993,6.69%
33,1992,8.73%
34,1991,19.33%
35,1990,13.2%
36,1989,11.37%
37,1988,12.23%
38,1987,3.04%
39,1986,-0.33%
40,1985,23.22%
