,Country,FDI in million Canadian dollars
0,United States,406051
1,Netherlands,106706
2,Luxembourg,55828
3,United Kingdom,50353
4,Switzerland,46147
5,Japan,28871
6,Hong Kong,21802
7,Germany,17008
8,People's Republic of China,16959
9,Bermuda,16604
10,Brazil,14628
11,France,13509
12,Australia,9682
13,Cayman Islands,8912
14,Ireland,8094
15,Belgium,8015
16,Spain,4823
17,Norway,4563
18,United Arab Emirates,3441
19,British Virgin Islands,2928
20,Poland,2830
21,Mexico,2730
22,Sweden,2585
23,India,2561
24,South Korea,2398
25,Hungary,2289
26,Kuwait,2158
27,Russian Federation,1581
28,Italy,1510
29,Chile,1439
30,Uruguay,1329
31,Barbados,1256
32,Nigeria,934
33,Austria,922
34,Cyprus,898
35,Finland,776
36,South Africa,754
37,Denmark,728
38,Kyrgyzstan,693
39,Yemen,348
40,Malaysia,241
41,Israel,181
42,New Zealand,127
43,Singapore,116
44,Indonesia,84
45,Taiwan,76
46,Portugal,70
47,Thailand,56
48,Liberia,49
49,Guyana,1
50,Jamaica,1
51,Philippines,-1
52,Iceland,-1
53,Panama,-1
54,Costa Rica,-1
55,Turkey,-2
56,Colombia,-7
57,Bahamas,-39
58,Argentina,-60
