,Year,GDP per capita in U.S. dollars
0,2024*,45934.7
1,2023*,44311.93
2,2022*,42842.47
3,2021*,41504.89
4,2020*,40391.84
5,2019*,41030.23
6,2018,42579.82
7,2017,39976.78
8,2016,40657.86
9,2015,44494.86
10,2014,47003.88
11,2013,42981.25
12,2012,42023.1
13,2011,41649.66
14,2010,39122.19
15,2009,38601.32
16,2008,47469.38
17,2007,50315.56
18,2006,44403.81
19,2005,41842.7
20,2004,40111.75
21,2003,34302.42
22,2002,29912.99
23,2001,27510.33
24,2000,28043.87
25,1999,28435.06
26,1998,28077.34
27,1997,26647.95
28,1996,24256.46
29,1995,23026.71
30,1994,21344.25
31,1993,19925.66
32,1992,22305.36
33,1991,21671.88
34,1990,20808.23
35,1989,17617.85
36,1988,17364.25
37,1987,14294.99
38,1986,11551.07
39,1985,9491.99
40,1984,8943.27
