,Year,GDP per capita in U.S. dollars
0,2025*,1261.21
1,2024*,1162.64
2,2023*,1082.22
3,2022*,1030.32
4,2021*,971.28
5,2020*,915.35
6,2019*,916.16
7,2018*,869.43
8,2017*,829.07
9,2016,804.53
10,2015,769.77
11,2014,775.1
12,2013,767.24
13,2012,755.42
14,2011,669.3
15,2010,662.22
16,2009,628.76
17,2008,604.63
18,2007,488.91
19,2006,406.74
20,2005,372.28
21,2004,331.99
22,2003,278.83
23,2002,278.96
24,2001,268.07
25,2000,273.96
26,1999,285.56
27,1998,310.18
28,1997,326.72
29,1996,309.38
30,1995,309.75
31,1994,266.87
32,1993,190.45
33,1992,166.5
34,1991,183.8
35,1990,363.93
36,1989,462.4
37,1988,591.64
38,1987,592.63
39,1986,381.13
40,1985,396.29
