,Year,Fertility rate
0,2020,1.83
1,2015,1.89
2,2010,1.95
3,2005,1.77
4,2000,1.79
5,1995,1.86
6,1990,1.86
7,1985,1.91
8,1980,1.99
9,1975,2.54
10,1970,2.87
11,1965,3.27
12,1960,3.41
13,1955,3.18
14,1950,3.02
15,1945,2.54
16,1940,2.22
17,1935,2.19
18,1930,2.73
19,1925,3.03
20,1920,3.07
21,1915,3.51
22,1910,3.35
23,1905,3.53
24,1900,3.71
25,1895,4.35
26,1890,4.72
27,1885,4.71
28,1880,4.75
29,1875,4.96
30,1870,5.31
31,1865,5.69
32,1860,5.6
33,1855,4.98
34,1850,5.03
35,1845,5.24
36,1840,5.45
37,1835,5.66
38,1830,5.87
39,1825,6.04
40,1820,6.14
41,1815,6.24
42,1810,6.34
43,1805,6.44
44,1800,6.5
