,Month,Number of tests
0,Mar 03,25
1,Mar 04,92
2,Mar 05,179
3,Mar 07,299
4,Mar 08,230
5,Mar 09,246
6,Mar 10,394
7,Mar 11,210
8,Mar 12,655
9,Mar 13,1525
10,Mar 14,1079
11,Mar 16,2406
12,Mar 17,1616
13,Mar 18,1681
14,Mar 19,1876
15,Mar 20,2012
16,Mar 21,2523
17,Mar 22,2520
18,Mar 23,2771
19,Mar 24,3346
20,Mar 25,3320
21,Mar 26,4503
22,Mar 27,4607
23,Mar 28,4109
24,Mar 29,3824
25,Mar 30,4812
26,Mar 31,4382
27,Apr 01,5377
28,Apr 02,5760
29,Apr 03,5963
30,Apr 04,7856
31,Apr 05,4710
32,Apr 06,6748
33,Apr 07,7069
34,Apr 08,8313
35,Apr 09,10698
36,Apr 10,11265
37,Apr 11,8447
38,Apr 12,5623
39,Apr 13,4691
40,Apr 14,8172
41,Apr 15,12578
42,Apr 16,10583
43,Apr 17,13306
44,Apr 18,11286
45,Apr 19,9990
46,Apr 20,10119
47,Apr 21,14444
48,Apr 22,11920
49,Apr 23,14482
50,Apr 24,13793
51,Apr 25,11639
52,Apr 26,7226
53,Apr 27,12885
54,Apr 28,13783
55,Apr 29,13500
56,Apr 30,16601
57,May 01,11385
58,May 02,9935
59,May 03,7856
60,May 04,10466
61,May 05,16198
62,May 06,15526
63,May 07,17512
64,May 08,17180
65,May 09,16218
66,May 10,14312
67,May 11,16560
68,May 12,20346
69,May 13,26235
70,May 14,21919
71,May 15,25118
72,May 16,18855
73,May 17,15797
74,May 18,17178
75,May 19,21637
76,May 20,22369
77,May 21,22341
78,May 22,31368
79,May 23,16502
80,May 24,12135
81,May 25,22177
82,May 26,23021
83,May 27,21958
84,May 28,26724
85,May 29,25613
86,May 30,16477
87,May 31,15974
88,Jun 01,14435
89,Jun 02,21222
90,Jun 03,29427
91,Jun 04,18333
92,Jun 05,23344
93,Jun 06,18115
94,Jun 07,14404
95,Jun 08,17053
96,Jun 09,22056
97,Jun 10,19130
98,Jun 11,21944
99,Jun 12,18105
100,Jun 13,19654
101,Jun 14,13282
102,Jun 15,19109
103,Jun 16,25966
104,Jun 17,23852
105,Jun 18,26725
106,Jun 19,22723
107,Jun 20,21443
108,Jun 21,14193
109,Jun 22,21171
110,Jun 23,22441
111,Jun 24,25196
112,Jun 25,22287
113,Jun 26,22832
114,Jun 27,24031
115,Jun 28,5547
116,Jun 29,21866
117,Jun 30,25104
118,Jul 01,23183
119,Jul 02,27804
120,Jul 03,22663
121,Jul 04,19210
122,Jul 05,16294
123,Jul 06,20700
124,Jul 07,20209
125,Jul 08,23855
126,Jul 09,24203
127,Jul 10,35012
128,Jul 11,17969
129,Jul 12,15753
130,Jul 13,21904
131,Jul 14,25323
132,Jul 15,25497
133,Jul 16,26254
134,Jul 17,24546
135,Jul 18,19383
136,Jul 19,15464
137,Jul 20,20266
138,Jul 21,25511
139,Jul 22,27190
140,Jul 23,24280
141,Jul 24,26239
142,Jul 25,20300
143,Jul 26,18812
144,Jul 27,22691
145,Jul 28,29952
146,Jul 29,23064
147,Jul 30,35127
148,Jul 31,28385
149,Aug 01,23874
150,Aug 02,17783
151,Aug 03,25829
152,Aug 04,33647
153,Aug 05,28650
154,Aug 06,32676
155,Aug 07,21900
156,Aug 08,20374
157,Aug 09,14924
158,Aug 10,23142
159,Aug 11,24079
160,Aug 12,26131
161,Aug 13,26726
162,Aug 14,24632
163,Aug 15,16613
164,Aug 16,13158
165,Aug 17,20530
166,Aug 18,28741
167,Aug 19,25599
168,Aug 20,29689
169,Aug 21,25704
170,Aug 22,19634
171,Aug 23,16754
172,Aug 24,22211
173,Aug 25,28894
174,Aug 26,28283
175,Aug 27,25762
176,Aug 28,21871
177,Aug 29,19017
178,Aug 30,12474
179,Aug 31,29407
180,Sep 01,34167
181,Sep 02,15684
182,Sep 03,22493
183,Sep 04,25566
184,Sep 05,18619
185,Sep 06,10303
186,Sep 07,18818
187,Sep 08,23327
188,Sep 09,18680
189,Sep 10,18643
190,Sep 11,21154
191,Sep 12,14502
192,Sep 13,12631
193,Sep 14,18719
194,Sep 15,21912
195,Sep 16,22192
196,Sep 17,21023
