,Country,Number of transactions in millions
0,United Kingdom,27701.0
1,France,23498.0
2,Germany,22656.3
3,Netherlands,8707.0
4,Spain,8184.6
5,Poland,7561.6
6,Italy,6699.6
7,Sweden,5379.8
8,Belgium,4257.7
9,Luxembourg,3262.6
10,Finland,2932.3
11,Denmark *,2756.4
12,Portugal,2506.0
13,Czechia,1999.7
14,Austria,1951.7
15,Ireland,1643.6
16,Hungary,1286.0
17,Greece,1199.6
18,Slovakia,973.2
19,Romania,938.4
20,Croatia,782.2
21,Bulgaria,584.8
22,Lithuania,577.3
23,Estonia,504.4
24,Latvia,497.2
25,Slovenia,434.9
26,Cyprus,117.7
27,Malta,63.0
