,Year,GDP per capita in U.S. dollars
0,2025*,6134.31
1,2024*,5683.52
2,2023*,5257.72
3,2022*,4869.65
4,2021*,4527.33
5,2020*,4267.73
6,2019,4458.19
7,2018,4141.84
8,2017,3478.52
9,2016,2857.88
10,2015,2715.78
11,2014,2675.04
12,2013,2669.23
13,2012,2446.3
14,2011,2364.74
15,2010,1959.63
16,2009,1831.31
17,2008,2036.94
18,2007,1478.48
19,2006,1142.31
20,2005,999.05
21,2004,866.0
22,2003,658.92
23,2002,551.25
24,2001,489.91
25,2000,434.0
26,1999,385.91
27,1998,557.9
28,1997,633.01
29,1996,554.34
30,1995,470.12
