,Indoor exhibition venues,Net exhibition space in thousand square meters
0,Messe Hannover(Germany),466.1
1,Messe Frankfurt(Germany),345.7
2,Fiera Milano(Italy),345.0
3,Pazhou Complex(China),338.0
4,Koelnmesse(Germany),284.0
5,Messe Duesseldorf(Germany),262.7
6,Paris Nord Villepinte(France),241.58
7,McCormick Place(USA),241.52
8,Feria Valencia(Spain),230.6
9,Porte de Versailles(France),228.21
10,Crocus International(Russia),226.4
11,Fira de Barcelona: Gran Via venue(Spain),205.0
12,BolognaFiere(Italy),200.0
13,Feria de Madrid / IFEMA(Spain),200.0
14,Shanghai New International Expo Centre(China),200.0
