,State,Number of prescribed fires,Number of acres burnt
0,Florida,86115,2182980
1,Georgia,83588,1255221
2,Alabama,13157,944455
3,Arizona,2321,429564
4,South Carolina,8895,342066
5,Arkansas,34624,214859
6,Mississippi,2498,211166
7,Texas,205,190451
8,North Carolina,1427,180558
9,New Mexico,91654,141663
10,Minnesota,593,71285
11,Alaska,8,64950
12,South Dakota,204,56001
13,California,428,49522
14,Oregon,271,48077
15,Missouri,57,41392
16,Wisconsin,391,31745
17,Iowa,419,26015
18,Montana,365,24180
19,Idaho,241,23815
20,Colorado,166,23145
21,Louisiana,181,22534
22,North Dakota,18272,19841
23,Michigan,175,19391
24,Nebraska,32,18643
25,Pennsylvania,222,18611
26,Utah,112,18517
27,Illinois,67,15817
28,Virginia,424,14238
29,Indiana,38,8064
30,Kansas,13,7292
31,Tennessee,36,6780
32,Oklahoma,21,6186
33,Washington,44,5216
34,Nevada,27,5198
35,Maryland,70,3751
36,Kentucky,23,3746
37,West Virginia,7,3094
38,Wyoming,34,2900
39,New Jersey,12,2703
40,Massachusetts,45,1023
41,New York,29,564
42,Ohio,70,308
43,Delaware,13,280
44,Maine,13,147
45,New Hampshire,10,120
46,Vermont,10,98
47,Connecticut,3,31
48,Rhode Island,1,13
49,Hawaii,0,0
