,Year,GDP per capita in U.S. dollars
0,2024*,4042.32
1,2023*,3863.8
2,2022*,3740.96
3,2021*,3626.62
4,2020*,3478.11
5,2019*,3046.59
6,2018,2573.29
7,2017,2495.02
8,2016,3686.07
9,2015,3731.18
10,2014,3524.42
11,2013,3400.32
12,2012,3383.11
13,2011,3077.34
14,2010,2921.76
15,2009,2578.05
16,2008,2270.36
17,2007,1861.05
18,2006,1563.48
19,2005,1330.46
20,2004,1195.37
21,2003,1254.1
22,2002,1356.68
23,2001,1569.04
24,2000,1642.63
25,1999,1532.89
26,1998,1469.32
27,1997,1342.93
28,1996,1221.89
29,1995,1111.78
30,1994,978.54
31,1993,906.8
32,1992,825.45
33,1991,923.84
34,1990,1870.85
35,1989,2266.44
36,1988,1858.03
37,1987,1585.22
38,1986,1132.46
39,1985,1049.33
40,1984,925.97
