,Year,Gross domestic product in billion international dollars
0,2021*,62.35
1,2020*,57.91
2,2019*,57.13
3,2018,53.62
4,2017,49.24
5,2016,45.24
6,2015,41.84
7,2014,38.6
8,2013,35.22
9,2012,32.04
10,2011,29.16
11,2010,26.45
12,2009,24.21
13,2008,22.37
14,2007,20.35
15,2006,18.38
16,2005,16.37
17,2004,14.85
18,2003,13.49
19,2002,12.47
20,2001,11.5
21,2000,10.74
22,1999,9.87
23,1998,9.35
24,1997,8.87
25,1996,8.15
26,1995,7.49
27,1994,6.85
28,1993,6.2
29,1992,5.73
30,1991,5.23
31,1990,4.87
32,1989,4.4
33,1988,3.85
34,1987,3.8
35,1986,3.74
36,1985,3.5
37,1984,3.11
