,Month,Number of players in thousands
0,Nov '20,128.58
1,Oct '20,140.67
2,Sep '20,146.9
3,Aug '20,70.36
4,Jul '20,71.68
5,Jun '20,72.5
6,May '20,79.77
7,Apr '20,100.77
8,Mar '20,119.12
9,Feb '20,80.45
10,Jan '20,81.64
11,Dec '19,80.21
12,Nov '19,60.08
13,Oct '19,68.39
14,Sept '19,59.53
15,Aug '19,57.62
16,Jul '19,65.91
17,Jun '19,69.62
18,May '19,69.47
19,Apr '19,67.49
20,Mar '19,61.24
21,Feb '19,62.02
22,Jan '19,64.26
23,Dec '18,67.95
24,Nov '18,63.28
25,Oct '18,67.22
26,Sept '18,75.88
27,Aug '18,55.82
28,Jul '18,82.3
29,Jun '18,64.31
30,May '18,66.08
31,Aprl '18,60.63
32,Mar '18,63.58
33,Feb '18,62.49
34,Jan '18,60.54
35,Dec '17,65.28
36,Nov '17,60.12
37,Oct '17,73.68
38,Sept '17,70.23
39,Aug '17,52.61
40,Jul '17,68.23
41,Jun '17,64.08
42,May '17,82.25
43,Apr '17,65.38
44,Mar '17,74.33
45,Feb '17,61.65
46,Jan '17,69.67
47,Dec '16,70.35
48,Nov '16,55.53
49,Oct '16,59.53
50,Sept '16,79.3
51,Aug '16,48.14
52,Jul '16,58.68
53,Jun '16,55.03
54,May '16,58.21
55,Apr '16,102.68
56,Mar '16,45.88
57,Feb '16,50.36
58,Jan '16,46.11
