,Country,Monetary policy rate
0,Argentina*,26.42%
1,Haiti,12%
2,Mexico,7.64%
3,Barbados*,7%
4,Brazil,6.56%
5,Grenada*,6.5%
6,Antigua and Barbuda*,6.5%
7,Dominica*,6.5%
8,Saint Lucia*,6.5%
9,Saint Vincent and the Grenadines*,6.5%
10,Saint Kitts and Nevis*,6.5%
11,Venezuela*,6.37%
12,Honduras,5.5%
13,Dominican Republic,5.38%
14,Paraguay,5.25%
15,Costa Rica,5.01%
16,Guyana*,5%
17,Trinidad and Tobago,4.91%
18,Jamaica*,4.52%
19,Colombia,4.31%
20,Nicaragua*,4%
21,Bahamas*,4%
22,El Salvador*,2.83%
23,Peru,2.79%
24,Guatemala,2.75%
25,Chile,2.56%
26,Bolivia,2.5%
