,industry,Number of deals
0,Commercial services,442
1,Technology services,406
2,Finance,330
3,Consumer services,175
4,Distribution services,149
5,Producer manufacturing,126
6,Industrial services,109
7,Health services,108
8,Electronic technology,90
9,Process industries,87
10,Health technology,86
11,Retail trade,75
12,Consumer non-durables,72
13,Transportation,66
14,Consumer durables,44
15,Non-energy minerals,36
16,Communications,35
17,Utilities,34
18,Energy minerals,17
19,Miscellaneous,7
20,Government,2
