,Year,Number of new cases
0,2017,101567
1,2016,88053
2,2015,74707
3,2014,63450
4,2013,56482
5,2012,49903
6,2011,46040
7,2010,45844
8,2009,44830
9,2008,46292
10,2007,40925
11,2006,36958
12,2005,33288
13,2004,33423
14,2003,34289
15,2002,32919
16,2001,32284
17,2000,31618
18,1999,35385
19,1998,38289
20,1997,46716
21,1996,53240
22,1995,69359
23,1994,82713
24,1993,102612
25,1992,114730
26,1991,128719
27,1990,135590
28,1989,115089
29,1988,104546
30,1985,67563
31,1980,68832
32,1970,91382
33,1960,122538
34,1950,217558
